NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2
3302-107381-TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35.92%;37.7%;22.36%;31.04%
3302-107390-INGENIERIA FINANCIERA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;8.87%;9.05%;3.3%;3.68%
3302-107391-CIENCIAS AMBIENTALES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;21.67%;16.84%;7.75%;11.46%
3302-107534-TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;41.1%;38.89%;24.02%;22.93%
3302-107535-TECNOLOGIA EN DESARROLLO DE SOFTWARE;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;33.33%;30.08%;13.48%;16.29%
3302-107696-TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38.38%;27.92%;27.68%
3302-107943-TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;59.09%;53.13%
3302-108394-TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;50%
3302-108639-TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;57.14%
3302-108789-TECNOLOGIA EN CONTROL DE LA CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;27.82%;32.76%
3302-1518-TECNOLOGIA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;52.52%;54.39%;60.34%;76.79%;76.37%;72.99%;76.51%;75.31%;81.7%;76.24%;84%;80.28%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.69%
3302-2114-TECNOLOGIA EN ELECTROMECANICA;TASA DE RETENCIÓN;0%;0%;82.35%;89.16%;83.96%;89.12%;83.71%;86.55%;85.3%;83.53%;89.21%;85.52%;88.56%;91.24%;89.13%;88.01%;79.87%;78.18%;73.08%;72.62%;69.08%;64.27%;63.82%;79.25%;84.44%;82.09%;75.36%;72.42%;81.74%;78.1%;83.5%;72.78%;77.09%;81.99%;82.2%;76.68%;81.74%;77.11%;76.94%;79.08%;79.87%;78.74%;77.59%;82.41%;79.29%;83.96%;93.89%;90.26%
3302-2240-TECNOLOGIA EN SECRETARIADO EJECUTIVO;TASA DE RETENCIÓN;0%;0%;89.83%;82.98%;86.13%;87.5%;79%;86.75%;89.82%;90.67%;87.01%;86.8%;88.42%;93.39%;94.87%;97.3%;92.86%;77.78%;43.75%;0%;71.43%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4277-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;61.29%;37.5%;45.16%;52.59%;71.43%;72.77%;71.24%;76.23%;81.33%;76.22%;82.22%;81.88%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4750-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;64.68%;66.67%;68.13%;81.82%;80.37%;76.9%;77.87%;76.64%;86.29%;82.48%;86.25%;82.12%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80.46%;2.15%
