CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2019;1;19
52131;INGENIERIA DE PRODUCCIÓN;2019;1;82
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2019;1;5
52129;INGENIERIA ELECTRÓNICA;2019;1;28
52205;INGENIERIA DE SISTEMAS;2019;1;72
90442;INGENIERÍA MECATRÓNICA;2019;1;410
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;1;202
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2019;1;197
55072;ADMINISTRACIÓN TECNÓLOGICA;2019;1;295
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2019;1;778
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2019;1;93
106973;DOCTORADO EN INGENIERÍA;2019;1;5
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2019;1;134
52130;INGENIERIA ELECTROMECÁNICA;2019;1;50
107391;CIENCIAS AMBIENTALES;2019;1;97
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2019;1;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2019;1;8
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;1;44
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2019;1;86
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2019;1;203
55018;ESPECIALIZACIÓN EN FINANZAS;2019;1;23
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2019;1;27
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2019;1;14
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;1;164
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2020;1;738
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2020;1;62
52129;INGENIERIA ELECTRÓNICA;2020;1;35
52130;INGENIERIA ELECTROMECÁNICA;2020;1;51
52131;INGENIERIA DE PRODUCCIÓN;2020;1;76
52205;INGENIERIA DE SISTEMAS;2020;1;73
52299;INGENIERÍA DE TELECOMUNICACIONES;2020;1;32
53340;INGENIERÍA BIOMÉDICA;2020;1;244
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2020;1;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;1;132
53800;TECNOLOGIA EN CALIDAD;2020;1;172
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2020;1;499
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2020;1;157
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2020;1;14
55018;ESPECIALIZACIÓN EN FINANZAS;2020;1;31
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2020;1;82
55072;ADMINISTRACIÓN TECNÓLOGICA;2020;1;241
90355;ARTES VISUALES;2020;1;59
90442;INGENIERÍA MECATRÓNICA;2020;1;344
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2020;1;8
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2020;1;24
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2020;1;155
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2020;1;8
104332;QUÍMICA INDUSTRIAL;2020;1;82
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;1;57
104740;MAESTRÍA EN ARTES DIGITALES;2020;1;11
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2020;1;10
105852;CONTADURÍA PÚBLICA;2020;1;297
106188;INGENIERÍA DE LA CALIDAD;2020;1;119
106314;CINE;2020;1;45
106505;MAESTRÍA EN METROLOGÍA;2020;1;7
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2020;1;17
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2020;1;257
106973;DOCTORADO EN INGENIERÍA;2020;1;6
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2020;1;178
