CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2020;1;490
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2020;1;58
52129;INGENIERIA ELECTRÓNICA;2020;1;28
52130;INGENIERIA ELECTROMECÁNICA;2020;1;47
52131;INGENIERIA DE PRODUCCIÓN;2020;1;70
52205;INGENIERIA DE SISTEMAS;2020;1;71
52299;INGENIERÍA DE TELECOMUNICACIONES;2020;1;30
53340;INGENIERÍA BIOMÉDICA;2020;1;199
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2020;1;3
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;1;111
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2020;1;364
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2020;1;107
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2020;1;7
55018;ESPECIALIZACIÓN EN FINANZAS;2020;1;23
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2020;1;59
55072;ADMINISTRACIÓN TECNÓLOGICA;2020;1;198
90355;ARTES VISUALES;2020;1;42
90442;INGENIERÍA MECATRÓNICA;2020;1;267
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2020;1;5
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2020;1;9
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2020;1;140
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2020;1;5
104332;QUÍMICA INDUSTRIAL;2020;1;68
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;1;51
104740;MAESTRÍA EN ARTES DIGITALES;2020;1;7
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2020;1;7
105852;CONTADURÍA PÚBLICA;2020;1;239
106188;INGENIERÍA DE LA CALIDAD;2020;1;84
106314;CINE;2020;1;40
106505;MAESTRÍA EN METROLOGÍA;2020;1;5
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2020;1;15
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2020;1;207
106973;DOCTORADO EN INGENIERÍA;2020;1;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2020;1;135
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2020;1;122
107390;INGENIERIA FINANCIERA;2020;1;137
107391;CIENCIAS AMBIENTALES;2020;1;65
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2020;1;100
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2020;1;361
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2020;1;10
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2020;1;94
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2020;1;46
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2020;1;135
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2021;1;125
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2021;1;589
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2021;1;86
52129;INGENIERIA ELECTRÓNICA;2021;1;16
52130;INGENIERIA ELECTROMECÁNICA;2021;1;52
52131;INGENIERIA DE PRODUCCIÓN;2021;1;59
52205;INGENIERIA DE SISTEMAS;2021;1;84
52299;INGENIERÍA DE TELECOMUNICACIONES;2021;1;21
53340;INGENIERÍA BIOMÉDICA;2021;1;168
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2021;1;5
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;1;105
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2021;1;284
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2021;1;104
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2021;1;15
55018;ESPECIALIZACIÓN EN FINANZAS;2021;1;29
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2021;1;78
55072;ADMINISTRACIÓN TECNÓLOGICA;2021;1;255
90355;ARTES VISUALES;2021;1;46
90442;INGENIERÍA MECATRÓNICA;2021;1;213
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2021;1;4
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2021;1;6
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2021;1;8
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2021;1;89
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2021;1;5
104332;QUÍMICA INDUSTRIAL;2021;1;68
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;1;62
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2021;1;5
105852;CONTADURÍA PÚBLICA;2021;1;244
106188;INGENIERÍA DE LA CALIDAD;2021;1;61
106314;CINE;2021;1;53
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2021;1;7
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2021;1;174
106973;DOCTORADO EN INGENIERÍA;2021;1;6
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2021;1;112
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;1;190
107390;INGENIERIA FINANCIERA;2021;1;145
107391;CIENCIAS AMBIENTALES;2021;1;70
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;1;175
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;1;522
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;12
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;181
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;70
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;37
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;29
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;164
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;75
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;349
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;38
52129;INGENIERIA ELECTRÓNICA;2022;1;7
52130;INGENIERIA ELECTROMECÁNICA;2022;1;28
52131;INGENIERIA DE PRODUCCIÓN;2022;1;63
52205;INGENIERIA DE SISTEMAS;2022;1;64
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;15
53340;INGENIERÍA BIOMÉDICA;2022;1;88
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;3
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;65
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;259
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;45
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;10
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;54
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;285
90355;ARTES VISUALES;2022;1;37
90442;INGENIERÍA MECATRÓNICA;2022;1;302
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;5
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;4
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;13
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;116
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;2
104332;QUÍMICA INDUSTRIAL;2022;1;68
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;39
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;7
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;4
105852;CONTADURÍA PÚBLICA;2022;1;219
106188;INGENIERÍA DE LA CALIDAD;2022;1;89
106314;CINE;2022;1;30
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;7
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;161
106973;DOCTORADO EN INGENIERÍA;2022;1;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;151
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;158
107390;INGENIERIA FINANCIERA;2022;1;125
107391;CIENCIAS AMBIENTALES;2022;1;64
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;98
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;529
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;4
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;216
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;91
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;76
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;44
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;60
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;30
55072;ADMINISTRACION TECNOLOGICA;2023;1;144
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;489
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;54
90355;ARTES VISUALES;2023;1;75
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;1;121
107391;CIENCIAS AMBIENTALES;2023;1;97
106314;CINE;2023;1;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;86
105852;CONTADURIA PUBLICA;2023;1;128
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;1;70
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;1;83
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;1;567
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;1;54
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;1;179
106973;DOCTORADO EN INGENIERIA;2023;1;1
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;1;39
55018;ESPECIALIZACION EN FINANZAS;2023;1;45
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;1;69
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;1;9
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;1;52
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;1;40
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;1;794
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;1;121
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;1;78
53340;INGENIERIA BIOMEDICA;2023;1;135
106188;INGENIERIA DE LA CALIDAD;2023;1;79
