CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;INSCRITOS
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;11
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;313
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;87
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;43
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;35
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;207
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2021;1;797
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2021;1;166
52129;INGENIERIA ELECTRÓNICA;2021;1;23
52130;INGENIERIA ELECTROMECÁNICA;2021;1;72
52131;INGENIERIA DE PRODUCCIÓN;2021;1;73
52205;INGENIERIA DE SISTEMAS;2021;1;112
52299;INGENIERÍA DE TELECOMUNICACIONES;2021;1;29
53340;INGENIERÍA BIOMÉDICA;2021;1;270
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2021;1;6
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;1;133
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2021;1;343
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2021;1;110
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2021;1;15
55018;ESPECIALIZACIÓN EN FINANZAS;2021;1;34
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2021;1;99
55072;ADMINISTRACIÓN TECNÓLOGICA;2021;1;249
90355;ARTES VISUALES;2021;1;61
90442;INGENIERÍA MECATRÓNICA;2021;1;249
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2021;1;200
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;6
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;5
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;1;1
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;12
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;135
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;2
104332;QUÍMICA INDUSTRIAL;2022;1;70
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;200
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;4
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;5
105852;CONTADURÍA PÚBLICA;2022;1;289
106188;INGENIERÍA DE LA CALIDAD;2022;1;100
106314;CINE;2022;1;121
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;12
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;182
106973;DOCTORADO EN INGENIERÍA;2022;1;2
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;161
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;174
107390;INGENIERIA FINANCIERA;2022;1;165
107391;CIENCIAS AMBIENTALES;2022;1;68
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;2
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;116
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;962
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;3
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;229
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;104
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;103
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;55
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;71
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;79
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;376
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;64
52129;INGENIERIA ELECTRÓNICA;2022;1;13
52130;INGENIERIA ELECTROMECÁNICA;2022;1;35
52131;INGENIERIA DE PRODUCCIÓN;2022;1;72
52205;INGENIERIA DE SISTEMAS;2022;1;90
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;19
53340;INGENIERÍA BIOMÉDICA;2022;1;144
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;3
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;84
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;281
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;60
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;10
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;25
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;57
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;298
90355;ARTES VISUALES;2022;1;56
90442;INGENIERÍA MECATRÓNICA;2022;1;333
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;84
55072;ADMINISTRACION TECNOLOGICA;2023;1;181
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;552
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;346
90355;ARTES VISUALES;2023;1;132
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;1;101
107391;CIENCIAS AMBIENTALES;2023;1;103
106314;CINE;2023;1;207
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;107
105852;CONTADURIA PUBLICA;2023;1;627
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;1;94
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;1;50
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;1;2873
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;1;101
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;1;120
