CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2017;1;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;13
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2017;1;103
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2017;1;93
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2017;1;61
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2017;2;46
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2017;2;168
90355;ARTES VISUALES;ARTES VISUALES;2017;2;13
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2017;2;18
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;2;19
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2017;2;47
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2017;2;59
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2017;2;35
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2017;2;18
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2017;2;73
55105;FISICA;FISICA;2017;2;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2017;2;211
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2017;2;24
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2017;2;45
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2017;2;62
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2017;2;35
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2017;2;18
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2017;2;50
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2017;2;17
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2017;2;3
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2017;2;20
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;2;49
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2017;2;21
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2017;2;1
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2017;2;12
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2017;2;2
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2017;2;1
